region,variety,rating
"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,91.0
South Africa,White Wine,85.0
"Columbia Valley, Washington",Red Wine,91.0
"La Mancha, Spain",White Wine,88.0
"Haut Medoc, Bordeaux, France",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,92.0
"Rioja, Spain",Red Wine,91.0
"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,90.0
"Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,91.0
"Burgundy, France",White Wine,89.0
"Napa Valley, California",Red Wine,94.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,97.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",White Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Rioja, Spain",Red Wine,92.0
"Napa Valley, California",Red Wine,93.0
"Cornas, Rhone, France",Red Wine,95.0
"St. Estephe, Bordeaux, France",Red Wine,90.0
Greece,Red Wine,90.0
"Valle d'Aosta, Italy",White Wine,94.0
"Cotes de Francs, Bordeaux, France",Red Wine,93.0
"Champagne, France",Sparkling & Champagne,94.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Napa Valley, California",Red Wine,96.0
"Napa Valley, California",Red Wine,91.0
"Margaret River, Western Australia, Australia",Red Wine,91.0
"Casablanca Valley, Chile",White Wine,90.0
"Yarra Valley, Victoria, Australia",Red Wine,90.0
South Africa,White Wine,90.0
Spain,Red Wine,91.0
"Napa Valley, California",White Wine,92.0
Australia,White Wine,87.0
"Alsace, France",White Wine,90.0
"Trentino-Alto Adige, Italy",White Wine,88.0
"Piedmont, Italy",Red Wine,94.0
"Rioja, Spain",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
Austria,White Wine,89.0
"Tuscany, Italy",Red Wine,90.0
"Bordeaux, France",White Wine,91.0
"Russian River, Sonoma County, California",White Wine,92.0
"Russian River, Sonoma County, California",Red Wine,93.0
"St-Julien, Bordeaux, France",Red Wine,93.0
"Napa Valley, California",Red Wine,92.0
"Napa Valley, California",White Wine,89.0
"Napa Valley, California",Red Wine,94.0
"Willamette Valley, Oregon",Sparkling & Champagne,94.0
"Margaux, Bordeaux, France",Red Wine,93.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
Uruguay,White Wine,90.0
"Marlborough, New Zealand",White Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,94.0
"Paso Robles, Central Coast, California",Red Wine,92.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,95.0
"Willamette Valley, Oregon",Red Wine,92.0
"Other Peloponnese, Greece",White Wine,92.0
"Central Coast, California",White Wine,90.0
"Carneros, California",White Wine,93.0
"Gigondas, Rhone, France",Red Wine,94.0
"Calistoga, Napa Valley, California",White Wine,92.0
"Napa Valley, California",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",Red Wine,91.0
"Willamette Valley, Oregon",White Wine,87.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Spring Mountain District, Napa Valley, California",Red Wine,92.0
California,Red Wine,88.0
"Napa Valley, California",Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Napa Valley, California",Red Wine,89.0
"Columbia Valley, Washington",Red Wine,92.0
"Tuscany, Italy",Collectible,95.0
"Mosel, Germany",White Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,87.0
"Columbia Valley, Washington",Red Wine,93.0
"Sauternes, Bordeaux, France",Collectible,95.0
"Pauillac, Bordeaux, France",Red Wine,90.0
"Mt. Veeder, Napa Valley, California",Red Wine,92.0
"Sonoma County, California",White Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Beaujolais, Burgundy, France",Red Wine,87.0
"Tuscany, Italy",Red Wine,90.0
"Paso Robles, Central Coast, California",Red Wine,96.0
"San Francisco Bay, Central Coast, California",Red Wine,90.0
California,Red Wine,91.0
"Napa Valley, California",Red Wine,92.0
"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,92.0
"Napa Valley, California",Red Wine,91.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Sonoma County, California",White Wine,90.0
"Alba, Piedmont, Italy",Red Wine,90.0
"Sonoma County, California",Red Wine,97.0
"Ribera del Duero, Spain",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Napa Valley, California",Red Wine,93.0
"Napa Valley, California",Red Wine,91.0
"Napa Valley, California",Red Wine,91.0
"Rhone, France",Red Wine,90.0
"Paso Robles, Central Coast, California",Red Wine,89.0
"St. Emilion, Bordeaux, France",Red Wine,90.0
"Loire, France",Red Wine,92.0
California,White Wine,91.0
Chile,Red Wine,90.0
Spain,,95.0
"Gigondas, Rhone, France",Red Wine,92.0
"Sonoma Coast, Sonoma County, California",White Wine,90.0
Italy,Red Wine,93.0
"Santa Cruz Mountains, California",Red Wine,91.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,92.0
"Sancerre, Loire, France",White Wine,90.0
"Hermitage, Rhone, France",Red Wine,92.0
Argentina,Red Wine,87.0
"Napa Valley, California",White Wine,92.0
"Sonoma County, California",Red Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,94.0
"Tuscany, Italy",Red Wine,91.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",White Wine,90.0
"Willamette Valley, Oregon",Red Wine,89.0
"Margaux, Bordeaux, France",Red Wine,93.0
"Russian River, Sonoma County, California",Red Wine,89.0
"Piedmont, Italy",Red Wine,89.0
"Pomerol, Bordeaux, France",Red Wine,94.0
"Pessac-Leognan, Bordeaux, France",White Wine,90.0
"Columbia Valley, Washington",Red Wine,92.0
"Carneros, California",Red Wine,87.0
Argentina,Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,94.0
"Hermitage, Rhone, France",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Tuscany, Italy",Red Wine,94.0
"Walla Walla Valley, Columbia Valley, Washington",White Wine,91.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92.0
"Carneros, California",Red Wine,90.0
"Sonoma Valley, Sonoma County, California",White Wine,89.0
"Pessac-Leognan, Bordeaux, France",White Wine,90.0
"Napa Valley, California",Red Wine,91.0
"Columbia Valley, Washington",Red Wine,86.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,92.0
"Mendoza, Argentina",Red Wine,91.0
"Napa Valley, California",White Wine,88.0
"Columbia Valley, Washington",White Wine,89.0
"Willamette Valley, Oregon",Sparkling & Champagne,91.0
"Carneros, California",Red Wine,93.0
"Napa Valley, California",Red Wine,98.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Dundee Hills, Willamette Valley, Oregon",Red Wine,90.0
California,White Wine,89.0
"Limestone Coast, South Australia, Australia",Red Wine,88.0
"Napa Valley, California",Red Wine,93.0
"Minervois, Languedoc, South of France, France",Red Wine,89.0
"Central Coast, California",White Wine,92.0
"Corbieres, Languedoc, South of France, France",Red Wine,88.0
Chile,Red Wine,87.0
"Santa Maria Valley, Central Coast, California",White Wine,90.0
"Napa Valley, California",Red Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,90.0
"Central Coast, California",White Wine,87.0
"Sonoma County, California",White Wine,88.0
"Pauillac, Bordeaux, France",Red Wine,93.0
"Pauillac, Bordeaux, France",Red Wine,95.0
"Bordeaux, France",Red Wine,88.0
"Napa Valley, California",Red Wine,94.0
Argentina,Red Wine,88.0
"Sonoma County, California",White Wine,87.0
Argentina,Red Wine,87.0
"Pessac-Leognan, Bordeaux, France",Red Wine,98.0
"Willamette Valley, Oregon",White Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Champagne, France",Sparkling & Champagne,92.0
"Montalcino, Tuscany, Italy",White Wine,87.0
"Sonoma County, California",White Wine,90.0
"Central Coast, California",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,90.0
"Pessac-Leognan, Bordeaux, France",Red Wine,90.0
"Haut Medoc, Bordeaux, France",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,93.0
"Napa Valley, California",Red Wine,94.0
"Trentino-Alto Adige, Italy",White Wine,91.0
"Vouvray, Touraine, Loire, France",White Wine,93.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Dry Creek Valley, Sonoma County, California",Red Wine,90.0
"Medoc, Bordeaux, France",Red Wine,88.0
"Mendoza, Argentina",Red Wine,94.0
"Rhone, France",Red Wine,88.0
"Columbia Valley, Washington",Red Wine,90.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92.0
"Lodi, California",Red Wine,90.0
"Douro, Portugal",,92.0
"St-Julien, Bordeaux, France",Red Wine,95.0
"Tuscany, Italy",Red Wine,95.0
"Gigondas, Rhone, France",Red Wine,90.0
"Russian River, Sonoma County, California",White Wine,90.0
"Anderson Valley, Mendocino, California",Red Wine,92.0
"Willamette Valley, Oregon",Red Wine,91.0
"Marlborough, New Zealand",White Wine,90.0
"Rias Baixas, Spain",White Wine,90.0
"Santa Barbara, Central Coast, California",White Wine,90.0
"Napa Valley, California",White Wine,92.0
Portugal,Red Wine,90.0
"Marlborough, New Zealand",White Wine,90.0
"Columbia Valley, Washington",Red Wine,89.0
"Veneto, Italy",Red Wine,90.0
"Tuscany, Italy",Red Wine,93.0
"Gigondas, Rhone, France",Red Wine,90.0
"Sonoma County, California",White Wine,89.0
"Napa Valley, California",Red Wine,94.0
"Sauternes, Bordeaux, France",,90.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
Chile,Red Wine,91.0
"Rioja, Spain",Red Wine,93.0
"Sonoma County, California",White Wine,91.0
"Vacqueyras, Rhone, France",Red Wine,91.0
"Mt. Veeder, Napa Valley, California",Red Wine,91.0
"Marlborough, New Zealand",Red Wine,90.0
California,Red Wine,91.0
"Napa Valley, California",White Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Yakima Valley, Columbia Valley, Washington",White Wine,91.0
"Montepulciano, Tuscany, Italy",Red Wine,92.0
"Pomerol, Bordeaux, France",Red Wine,92.0
"Napa Valley, California",Red Wine,91.0
"Rioja, Spain",Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,92.0
"Pauillac, Bordeaux, France",Red Wine,92.0
"Napa Valley, California",Red Wine,92.0
Chile,Red Wine,86.0
"Minervois La Liviniere, Minervois, Languedoc, South of France, France",Red Wine,92.0
"Swartland, South Africa",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Piedmont, Italy",Red Wine,96.0
"Sauternes, Bordeaux, France",White Wine,92.0
"Barossa, South Australia, Australia",Red Wine,90.0
"High Valley, Lake County, North Coast, California",Red Wine,90.0
"Napa Valley, California",Red Wine,92.0
"Sauternes, Bordeaux, France",White Wine,93.0
"New Mexico, Other U.S.",Sparkling & Champagne,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,87.0
South Africa,White Wine,90.0
"Barbaresco, Piedmont, Italy",Red Wine,92.0
"Columbia Valley, Washington",Red Wine,89.0
"Columbia Valley, Washington",White Wine,88.0
"Margaret River, Western Australia, Australia",White Wine,90.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,92.0
"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,90.0
"Pauillac, Bordeaux, France",Red Wine,98.0
"Napa Valley, California",Red Wine,93.0
"Heathcote, Victoria, Australia",Red Wine,92.0
"McLaren Vale, South Australia, Australia",White Wine,90.0
"Heathcote, Victoria, Australia",Red Wine,92.0
"Sonoma County, California",Red Wine,86.0
"Central Coast, California",Red Wine,93.0
Chile,Red Wine,90.0
Austria,White Wine,90.0
"Howell Mountain, Napa Valley, California",Red Wine,93.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,93.0
"Languedoc, South of France, France",Red Wine,90.0
"Chalk Hill, Sonoma County, California",White Wine,91.0
"Napa Valley, California",Red Wine,91.0
"Cornas, Rhone, France",Red Wine,94.0
"Pessac-Leognan, Bordeaux, France",Red Wine,96.0
Portugal,Collectible,90.0
"Beaujolais, Burgundy, France",Red Wine,90.0
"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,91.0
"Sonoma County, California",Sparkling & Champagne,88.0
"Barolo, Piedmont, Italy",Red Wine,94.0
"Rutherford, Napa Valley, California",White Wine,90.0
South Africa,White Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,93.0
"Willamette Valley, Oregon",Red Wine,90.0
Portugal,,91.0
"Tuscany, Italy",Red Wine,92.0
"Russian River, Sonoma County, California",White Wine,93.0
Spain,Red Wine,90.0
"Russian River, Sonoma County, California",Red Wine,89.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Margaret River, Western Australia, Australia",White Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Pomerol, Bordeaux, France",Red Wine,94.0
New Zealand,White Wine,89.0
"Montalcino, Tuscany, Italy",Red Wine,87.0
Italy,White Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,90.0
"Cote Rotie, Rhone, France",Red Wine,90.0
"Sonoma County, California",Red Wine,89.0
"Jerez, Spain",,94.0
"McLaren Vale, South Australia, Australia",Green Wine,88.0
"Tuscany, Italy",Red Wine,92.0
Argentina,Red Wine,86.0
"Sancerre, Loire, France",White Wine,89.0
"Napa Valley, California",Red Wine,91.0
"Carneros, California",Red Wine,90.0
"Sicily, Italy",White Wine,87.0
"Rutherford, Napa Valley, California",Red Wine,91.0
"Central Coast, California",Red Wine,93.0
"Rhone, France",Pink and Rosé,91.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,94.0
"Mosel, Germany",White Wine,93.0
Italy,Red Wine,90.0
"Napa Valley, California",Red Wine,90.0
"St. Estephe, Bordeaux, France",Red Wine,94.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Sardinia, Italy",Red Wine,91.0
"Clare Valley, South Australia, Australia",White Wine,90.0
"St. Emilion, Bordeaux, France",Red Wine,96.0
"Sonoma County, California",Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,89.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Monterey, Central Coast, California",Red Wine,89.0
"Pessac-Leognan, Bordeaux, France",Red Wine,90.0
"Oakville, Napa Valley, California",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Horse Heaven Hills, Columbia Valley, Washington",White Wine,89.0
"Willamette Valley, Oregon",Red Wine,90.0
"Knights Valley, Sonoma County, California",Red Wine,90.0
"Napa Valley, California",Red Wine,94.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Rutherford, Napa Valley, California",Red Wine,93.0
"Columbia Valley, Washington",White Wine,90.0
"Columbia Valley, Washington",White Wine,87.0
"Piedmont, Italy",Red Wine,90.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,94.0
"Napa Valley, California",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"New York, Other U.S.",White Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,94.0
"Sonoma Valley, Sonoma County, California",Red Wine,90.0
"Santa Barbara, Central Coast, California",Red Wine,93.0
"Napa Valley, California",Red Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Carneros, California",Red Wine,91.0
"Sonoma County, California",White Wine,88.0
"Central Coast, California",Red Wine,90.0
"Napa Valley, California",White Wine,90.0
"Santa Cruz Mountains, California",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Mendoza, Argentina",Red Wine,87.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",White Wine,92.0
"Mendoza, Argentina",Red Wine,92.0
"Dundee Hills, Willamette Valley, Oregon",Red Wine,93.0
"Champagne, France",Sparkling & Champagne,91.0
"Gigondas, Rhone, France",Red Wine,90.0
"Columbia Valley, Washington",White Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,93.0
"Pessac-Leognan, Bordeaux, France",White Wine,93.0
"Russian River, Sonoma County, California",Red Wine,91.0
"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90.0
"Napa Valley, California",White Wine,89.0
"Sicily, Italy",,91.0
"Bennett Valley, Sonoma Valley, Sonoma County, California",Red Wine,93.0
"Leyda Valley, San Antonio Valley (Chile), Chile",Red Wine,90.0
New Zealand,White Wine,90.0
"St-Julien, Bordeaux, France",Red Wine,92.0
"Mosel, Germany",White Wine,90.0
"Napa Valley, California",White Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,92.0
Chile,Red Wine,92.0
"Mendocino, California",Pink and Rosé,90.0
Argentina,Red Wine,91.0
"Sonoma County, California",Red Wine,90.0
Canada,Collectible,93.0
"North Coast, California",Pink and Rosé,90.0
"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,94.0
"Knights Valley, Sonoma County, California",White Wine,89.0
"Pessac-Leognan, Bordeaux, France",Red Wine,97.0
"St-Julien, Bordeaux, France",Red Wine,95.0
"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",White Wine,90.0
Greece,Red Wine,90.0
"Napa Valley, California",White Wine,91.0
"St. Helena, Napa Valley, California",Red Wine,93.0
"Pouilly-Fuisse, Maconnais, Burgundy, France",White Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Alexander Valley, Sonoma County, California",Red Wine,93.0
Portugal,Red Wine,90.0
"Barbaresco, Piedmont, Italy",Red Wine,93.0
"Sonoma County, California",Red Wine,92.0
"Vacqueyras, Rhone, France",Red Wine,91.0
California,Pink and Rosé,92.0
"Knights Valley, Sonoma County, California",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
Spain,Red Wine,93.0
"Napa Valley, California",Red Wine,93.0
"Columbia Valley, Washington",White Wine,87.0
"Carneros, California",White Wine,91.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Tuscany, Italy",Red Wine,90.0
"Tuscany, Italy",Red Wine,92.0
"Trentino-Alto Adige, Italy",White Wine,90.0
Argentina,Red Wine,90.0
"Napa Valley, California",Red Wine,91.0
"Carneros, California",White Wine,87.0
"Ribera del Duero, Spain",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,90.0
"Calistoga, Napa Valley, California",Red Wine,94.0
"Columbia Valley, Washington",White Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Rioja, Spain",Red Wine,90.0
"Mendoza, Argentina",Red Wine,90.0
"Burgundy, France",Red Wine,97.0
South Africa,White Wine,89.0
"Napa Valley, California",Red Wine,93.0
"Uco Valley, Mendoza, Argentina",Red Wine,90.0
Chile,Red Wine,90.0
"Cienega Valley, Central Coast, California",Pink and Rosé,92.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,91.0
Chile,Red Wine,90.0
Chile,Red Wine,88.0
"Napa Valley, California",Red Wine,94.0
California,Red Wine,95.0
"Central Coast, California",White Wine,87.0
"Vouvray, Touraine, Loire, France",White Wine,93.0
"Napa Valley, California",Red Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
California,Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Priorat, Spain",White Wine,91.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Napa Valley, California",Red Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,93.0
"Sonoma County, California",White Wine,90.0
Argentina,Red Wine,87.0
New Zealand,White Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0
"Jerez, Spain",,90.0
"Barbaresco, Piedmont, Italy",Red Wine,93.0
"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
Spain,Red Wine,90.0
"Rhone, France",Red Wine,91.0
"Tuscany, Italy",Red Wine,94.0
"Yamhill-Carlton District, Willamette Valley, Oregon",Pink and Rosé,90.0
"Napa Valley, California",Red Wine,93.0
"Chablis, Burgundy, France",White Wine,90.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,91.0
"St. Emilion, Bordeaux, France",Red Wine,95.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Napa Valley, California",White Wine,91.0
"Alba, Piedmont, Italy",Red Wine,91.0
"Yarra Valley, Victoria, Australia",White Wine,90.0
"Yountville, Napa Valley, California",Red Wine,92.0
Italy,Red Wine,87.0
"Barolo, Piedmont, Italy",Red Wine,95.0
"Willamette Valley, Oregon",Red Wine,91.0
"Jura, France",White Wine,93.0
"Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,93.0
"Victoria, Australia",Red Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,92.0
Italy,Red Wine,94.0
"Pays Nantais, Loire, France",White Wine,94.0
"Entre-Deux-Mers, Bordeaux, France",White Wine,90.0
Italy,Red Wine,87.0
"Tuscany, Italy",Red Wine,97.0
"Columbia Valley, Washington",White Wine,91.0
"Columbia Valley, Washington",Red Wine,93.0
"Haut Medoc, Bordeaux, France",Red Wine,88.0
"Clare Valley, South Australia, Australia",White Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,93.0
"Cote Rotie, Rhone, France",Red Wine,94.0
"Loire, France",White Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Pessac-Leognan, Bordeaux, France",Red Wine,96.0
"Marlborough, New Zealand",Red Wine,90.0
"Napa Valley, California",White Wine,92.0
Portugal,,90.0
"Marlborough, New Zealand",White Wine,90.0
"Santa Maria Valley, Central Coast, California",Red Wine,92.0
"Rioja, Spain",White Wine,89.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,88.0
"Trentino-Alto Adige, Italy",White Wine,91.0
"Willamette Valley, Oregon",Sparkling & Champagne,90.0
"Columbia Valley, Washington",White Wine,88.0
"Russian River, Sonoma County, California",White Wine,89.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,95.0
"Mendoza, Argentina",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,93.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,91.0
"Napa Valley, California",Red Wine,93.0
"Napa Valley, California",Red Wine,89.0
"Napa Valley, California",Red Wine,91.0
"Alsace, France",White Wine,90.0
"Stags Leap District, Napa Valley, California",Red Wine,94.0
"Marlborough, New Zealand",White Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Horse Heaven Hills, Columbia Valley, Washington",White Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Beaujolais, Burgundy, France",Red Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,91.0
"Oakville, Napa Valley, California",Red Wine,93.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,94.0
"Columbia Valley, Washington",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0
"St. Helena, Napa Valley, California",Red Wine,93.0
"Chablis, Burgundy, France",White Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Napa Valley, California",White Wine,92.0
"Marlborough, New Zealand",White Wine,90.0
"Napa Valley, California",Red Wine,92.0
"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,94.0
"St. Helena, Napa Valley, California",Red Wine,95.0
"St-Julien, Bordeaux, France",Red Wine,95.0
"Napa Valley, California",Red Wine,93.0
Australia,Red Wine,88.0
